title,writer,publication,callno,href
영어 스피킹 기적의 영단어 100 :예일대 졸업생들이 뽑은 '내가 받은 예일 최고의 강의',"Vance, William A","서울 :이퍼블릭 :로그인,2013(2015 10쇄)",428.1 V222허,https://library.cau.ac.kr/#/search/detail/5726934
사진 일기 :날마다 나를 찾아가는 길,임동숙,"서울 :Photonet :포토넷,2012",770.2 임동숙사,https://library.cau.ac.kr/#/search/detail/5721588
(콕知3652) 박성현 논술교육학 :논술시험 이론대비,박성현,"서울 :에듀모어,2013(2015 3쇄)",370.76 박성현박논 2013 v.1/2013 v.2,https://library.cau.ac.kr/#/search/detail/5701745
나는 왜 이 일을 하는가? :꿈꾸고 사랑하고 열렬히 행하고 성공하기 위하여,"Sinek, Simon","서울 :타임비즈,2013(2014 14쇄)",658.4092 S616s이,https://library.cau.ac.kr/#/search/detail/5701617
일빵빵 + 스토리가 있는 영어회화,서장혁,용인,428.34 서장혁일 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/5701609
나를 따르라 :그리스도의 제자직,"Bonhoeffer, Dietrich","서울 :대한기독교서회,2010(2014 6쇄)",230.044 디트리 v.5,https://library.cau.ac.kr/#/search/detail/5701599
(하루 30분씩 30일이면) 출근부터 퇴근까지 영어로 정복한다 :3030 English,김지완,"파주 :김영사,2009(2014 5쇄)",428.34 김지완출,https://library.cau.ac.kr/#/search/detail/5701452
음식강산 :박정배의 음식강산,박정배,"파주 :한길사,2013-2015",641.5951 박정배음 v.1/v.2/v.3,https://library.cau.ac.kr/#/search/detail/5701358
에드거 앨런 포 단편선,"Poe, Edgar Allan","서울 :민음사,2013",808.8 세계문민 v.308,https://library.cau.ac.kr/#/search/detail/5701344
(설탕·버터·달걀 No!) 채식 베이킹 :아토피 걱정 없는 건강 빵,등정혜,"서울 :리스컴,2012(2014 7쇄)",641.815 등정혜등이,https://library.cau.ac.kr/#/search/detail/5681213
